2025-01-04 17:15:08 - root - INFO: - iter:[94/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.670045 loss_bce: 0.369794 loss_rst: 0.289513 loss_flow: 0.010737
2025-01-04 17:15:09 - root - INFO: - iter:[95/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.693069 loss_bce: 0.358712 loss_rst: 0.322322 loss_flow: 0.012035
2025-01-04 17:15:11 - root - INFO: - iter:[96/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.699441 loss_bce: 0.280080 loss_rst: 0.402778 loss_flow: 0.016582
2025-01-04 17:15:12 - root - INFO: - iter:[97/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.612052 loss_bce: 0.265376 loss_rst: 0.333926 loss_flow: 0.012750
2025-01-04 17:15:13 - root - INFO: - iter:[98/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.594638 loss_bce: 0.263785 loss_rst: 0.323049 loss_flow: 0.007805
2025-01-04 17:15:14 - root - INFO: - iter:[99/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.730361 loss_bce: 0.323074 loss_rst: 0.391942 loss_flow: 0.015344
2025-01-04 17:15:15 - root - INFO: - iter:[100/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.677796 loss_bce: 0.266892 loss_rst: 0.397887 loss_flow: 0.013017
2025-01-04 17:15:16 - root - INFO: - iter:[101/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.907395 loss_bce: 0.413705 loss_rst: 0.470206 loss_flow: 0.023484
2025-01-04 17:15:18 - root - INFO: - iter:[102/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.614870 loss_bce: 0.261112 loss_rst: 0.336723 loss_flow: 0.017035
2025-01-04 17:15:19 - root - INFO: - iter:[103/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.742433 loss_bce: 0.298679 loss_rst: 0.427840 loss_flow: 0.015915
2025-01-04 17:15:20 - root - INFO: - iter:[104/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.625674 loss_bce: 0.278658 loss_rst: 0.333215 loss_flow: 0.013802
2025-01-04 17:15:21 - root - INFO: - iter:[105/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.590932 loss_bce: 0.230441 loss_rst: 0.345642 loss_flow: 0.014849
2025-01-04 17:15:22 - root - INFO: - iter:[106/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.898387 loss_bce: 0.472300 loss_rst: 0.407125 loss_flow: 0.018963
2025-01-04 17:15:24 - root - INFO: - iter:[107/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.540960 loss_bce: 0.216651 loss_rst: 0.312317 loss_flow: 0.011992
2025-01-04 17:15:25 - root - INFO: - iter:[108/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.686922 loss_bce: 0.234115 loss_rst: 0.438959 loss_flow: 0.013848
2025-01-04 17:15:26 - root - INFO: - iter:[109/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.741729 loss_bce: 0.333765 loss_rst: 0.395298 loss_flow: 0.012667
2025-01-04 17:15:27 - root - INFO: - iter:[110/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.596950 loss_bce: 0.254775 loss_rst: 0.326814 loss_flow: 0.015361
2025-01-04 17:15:28 - root - INFO: - iter:[111/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.536145 loss_bce: 0.214834 loss_rst: 0.304411 loss_flow: 0.016899
2025-01-04 17:15:29 - root - INFO: - iter:[112/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.598203 loss_bce: 0.291205 loss_rst: 0.296812 loss_flow: 0.010186
2025-01-04 17:15:31 - root - INFO: - iter:[113/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.693907 loss_bce: 0.353173 loss_rst: 0.333060 loss_flow: 0.007673
2025-01-04 17:15:32 - root - INFO: - iter:[114/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.541359 loss_bce: 0.233529 loss_rst: 0.297996 loss_flow: 0.009834
2025-01-04 17:15:33 - root - INFO: - iter:[115/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.643704 loss_bce: 0.280466 loss_rst: 0.352804 loss_flow: 0.010435
2025-01-04 17:15:34 - root - INFO: - iter:[116/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.593344 loss_bce: 0.274844 loss_rst: 0.302509 loss_flow: 0.015991
2025-01-04 17:15:35 - root - INFO: - iter:[117/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.551505 loss_bce: 0.257307 loss_rst: 0.283358 loss_flow: 0.010840
2025-01-04 17:15:36 - root - INFO: - iter:[118/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.634391 loss_bce: 0.221332 loss_rst: 0.394966 loss_flow: 0.018093
2025-01-04 17:15:38 - root - INFO: - iter:[119/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.733644 loss_bce: 0.367734 loss_rst: 0.354179 loss_flow: 0.011731
2025-01-04 17:15:39 - root - INFO: - iter:[120/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.689696 loss_bce: 0.332644 loss_rst: 0.344824 loss_flow: 0.012227
2025-01-04 17:15:40 - root - INFO: - iter:[121/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.636996 loss_bce: 0.320712 loss_rst: 0.308058 loss_flow: 0.008226
2025-01-04 17:15:41 - root - INFO: - iter:[122/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.673852 loss_bce: 0.292845 loss_rst: 0.365592 loss_flow: 0.015415
