2024-12-07 16:48:55 - root - INFO: - iter:[69/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.916641 loss_bce: 0.429447 loss_rst: 0.482258 loss_flow: 0.003769 loss_conf: 0.001166
2024-12-07 16:48:58 - root - INFO: - iter:[70/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.811730 loss_bce: 0.337546 loss_rst: 0.470051 loss_flow: 0.003149 loss_conf: 0.000984
2024-12-07 16:49:01 - root - INFO: - iter:[71/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.762695 loss_bce: 0.311496 loss_rst: 0.445804 loss_flow: 0.004383 loss_conf: 0.001012
2024-12-07 16:49:04 - root - INFO: - iter:[72/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.790568 loss_bce: 0.329598 loss_rst: 0.453495 loss_flow: 0.006462 loss_conf: 0.001012
2024-12-07 16:49:07 - root - INFO: - iter:[73/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.715898 loss_bce: 0.283646 loss_rst: 0.424456 loss_flow: 0.006194 loss_conf: 0.001602
2024-12-07 16:49:10 - root - INFO: - iter:[74/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.845091 loss_bce: 0.399636 loss_rst: 0.435743 loss_flow: 0.008564 loss_conf: 0.001147
2024-12-07 16:49:13 - root - INFO: - iter:[75/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.714412 loss_bce: 0.333779 loss_rst: 0.369423 loss_flow: 0.009729 loss_conf: 0.001480
2024-12-07 16:49:16 - root - INFO: - iter:[76/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.641894 loss_bce: 0.246985 loss_rst: 0.388104 loss_flow: 0.005832 loss_conf: 0.000972
2024-12-07 16:49:19 - root - INFO: - iter:[77/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.736640 loss_bce: 0.353175 loss_rst: 0.377972 loss_flow: 0.004880 loss_conf: 0.000612
2024-12-07 16:49:23 - root - INFO: - iter:[78/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.892894 loss_bce: 0.448056 loss_rst: 0.425210 loss_flow: 0.018906 loss_conf: 0.000722
2024-12-07 16:49:26 - root - INFO: - iter:[79/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.667013 loss_bce: 0.297766 loss_rst: 0.346339 loss_flow: 0.021721 loss_conf: 0.001187
2024-12-07 16:49:29 - root - INFO: - iter:[80/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.643730 loss_bce: 0.327648 loss_rst: 0.304095 loss_flow: 0.010721 loss_conf: 0.001266
2024-12-07 16:49:32 - root - INFO: - iter:[81/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.698990 loss_bce: 0.377023 loss_rst: 0.315558 loss_flow: 0.005244 loss_conf: 0.001166
2024-12-07 16:49:35 - root - INFO: - iter:[82/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.716250 loss_bce: 0.371408 loss_rst: 0.339014 loss_flow: 0.004998 loss_conf: 0.000830
2024-12-07 16:49:39 - root - INFO: - iter:[83/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.767516 loss_bce: 0.416922 loss_rst: 0.342223 loss_flow: 0.007526 loss_conf: 0.000845
2024-12-07 16:49:42 - root - INFO: - iter:[84/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.573627 loss_bce: 0.216735 loss_rst: 0.349152 loss_flow: 0.007057 loss_conf: 0.000682
2024-12-07 16:49:45 - root - INFO: - iter:[85/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.518852 loss_bce: 0.284084 loss_rst: 0.231231 loss_flow: 0.002868 loss_conf: 0.000668
2024-12-07 16:49:48 - root - INFO: - iter:[86/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.617501 loss_bce: 0.311751 loss_rst: 0.298724 loss_flow: 0.006225 loss_conf: 0.000801
2024-12-07 16:49:51 - root - INFO: - iter:[87/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.517267 loss_bce: 0.228822 loss_rst: 0.276281 loss_flow: 0.011501 loss_conf: 0.000662
2024-12-07 16:49:54 - root - INFO: - iter:[88/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.540742 loss_bce: 0.254919 loss_rst: 0.280677 loss_flow: 0.004590 loss_conf: 0.000556
2024-12-07 16:49:57 - root - INFO: - iter:[89/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.545436 loss_bce: 0.278215 loss_rst: 0.260914 loss_flow: 0.005792 loss_conf: 0.000514
2024-12-07 16:50:00 - root - INFO: - iter:[90/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.565430 loss_bce: 0.313886 loss_rst: 0.243133 loss_flow: 0.007992 loss_conf: 0.000418
2024-12-07 16:50:03 - root - INFO: - iter:[91/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.725339 loss_bce: 0.395462 loss_rst: 0.324036 loss_flow: 0.005149 loss_conf: 0.000692
2024-12-07 16:50:07 - root - INFO: - iter:[92/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.767132 loss_bce: 0.414436 loss_rst: 0.344421 loss_flow: 0.007493 loss_conf: 0.000781
2024-12-07 16:50:10 - root - INFO: - iter:[93/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.630488 loss_bce: 0.322903 loss_rst: 0.300367 loss_flow: 0.006121 loss_conf: 0.001096
2024-12-07 16:50:13 - root - INFO: - iter:[94/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.727303 loss_bce: 0.385390 loss_rst: 0.334402 loss_flow: 0.006948 loss_conf: 0.000563
2024-12-07 16:50:17 - root - INFO: - iter:[95/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.624327 loss_bce: 0.311579 loss_rst: 0.306974 loss_flow: 0.005038 loss_conf: 0.000735
2024-12-07 16:50:20 - root - INFO: - iter:[96/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.635835 loss_bce: 0.360784 loss_rst: 0.269355 loss_flow: 0.005136 loss_conf: 0.000560
2024-12-07 16:50:23 - root - INFO: - iter:[97/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.488469 loss_bce: 0.256753 loss_rst: 0.227428 loss_flow: 0.003763 loss_conf: 0.000524
